row_type,ref,handle,name,category,status,moq,currency,price_25,price_50,price_100,price_250,price_500,cost_price,lead_weeks_min,lead_weeks_max,colours,sizes,personalisation_methods,personalisation_positions,artwork_required,description,materials,weight_gsm,care,provenance,country_of_origin,supplier,supplier_ref,colour,sku,price_adjustment,stock_on_hand,reorder_point,image_url,image_alt,image_position,method,position,max_width_mm,max_height_mm,max_colours,artwork_format,notes,setup_cost,priced_by,band_small_max_mm,band_medium_max_mm,mult_2_colours,mult_3_colours,mult_4_colours,size_band,qty_min,unit_cost,provisional
deco_method,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,embroidery,,,,,,Setup per job. Confirm whether charged per position.,35.00,size,99,150,,,,,,,
deco_method,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,screen,,,,,,Multipliers absolute against 1 colour. Confirm whether setup is per screen.,40.00,quantity,,,1.200,1.320,1.386,,,,
deco_method,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dtf,,,,,,No setup cost recorded.,,size,99,150,,,,,,,
deco_method,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dtg,,,,,,"No setup recorded. DTF + 50%, provisional.",,size,99,150,,,,,,,
deco_rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,embroidery,,,,,,,,,,,,,,small,,0.60,
deco_rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,embroidery,,,,,,,,,,,,,,medium,,0.85,
deco_rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,embroidery,,,,,,,,,,,,,,large,,1.20,
deco_rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dtf,,,,,,,,,,,,,,small,,0.60,
deco_rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dtf,,,,,,,,,,,,,,medium,,0.90,
deco_rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dtf,,,,,,,,,,,,,,large,,1.20,
deco_rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dtg,,,,,,DTF + 50%,,,,,,,,small,,0.90,yes
deco_rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dtg,,,,,,DTF + 50%,,,,,,,,medium,,1.35,yes
deco_rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dtg,,,,,,DTF + 50%,,,,,,,,large,,1.80,yes
deco_rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,screen,,,,,,1 colour. 1-9 pieces.,,,,,,,,,1,4.50,
deco_rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,screen,,,,,,1 colour. 10-24 pieces.,,,,,,,,,10,4.30,
deco_rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,screen,,,,,,1 colour. 25-49 pieces.,,,,,,,,,25,4.10,
deco_rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,screen,,,,,,1 colour. 50-99 pieces.,,,,,,,,,50,3.70,
deco_rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,screen,,,,,,"1 colour. 100-249, interpolated pieces.",,,,,,,,,100,2.64,yes
