PAMUUC ref,Supplier ref,Product,Category,GSM,Colours,Sizes,Base garment cost,Dearest band cost,Fixed costs,Price 25+,Price 50+,Price 100+,Price 250+,Price 500+,Size/colour surcharge,Dearest band,Deco upgrade large 25+,Deco upgrade large 50+,Deco upgrade large 100+,Deco upgrade large 250+,Deco upgrade large 500+,Margin 25+ as listed,Margin 50+ as listed,Margin 100+ as listed,Margin 250+ as listed,Margin 500+ as listed
MP-0001,STAU029,Baby Bib,Accessories,210.0,2,1,2.95,2.95,1.40,14.05,13.45,11.80,10.30,9.55,—,—,3.38,3.14,2.51,1.94,1.65,35.6%,35.7%,35.7%,35.6%,35.6%
MP-0002,STAU893,Bucket Hat,Accessories,300.0,3,2,7.25,7.25,1.40,20.70,20.10,18.45,16.95,16.20,—,—,3.38,3.14,2.51,1.94,1.65,35.5%,35.6%,35.6%,35.5%,35.5%
MP-0003,STAU892,Duffle Bag,Accessories,300.0,3,1,14.90,14.90,1.40,32.60,31.95,30.30,28.80,28.10,—,—,3.38,3.14,2.51,1.94,1.65,35.6%,35.5%,35.5%,35.5%,35.6%
MP-0004,STAU297,Fielder,Accessories,,4,1,,,1.40,On request,On request,On request,On request,On request,,,,,,,,,,,,
MP-0005,STAU771,Fisherman Beanie,Accessories,,11,1,7.10,7.30,1.40,20.50,19.85,18.20,16.75,16.00,0.31,OS Essential Heathers,3.38,3.14,2.51,1.94,1.65,35.6%,35.5%,35.5%,35.6%,35.6%
MP-0006,STAU296,Fisherman Beanie 2.0,Accessories,,8,1,7.10,7.30,1.40,20.50,19.85,18.20,16.75,16.00,0.31,OS Essential Heathers,3.38,3.14,2.51,1.94,1.65,35.6%,35.5%,35.5%,35.6%,35.6%
MP-0007,STAU763,Gym Bag,Accessories,300.0,3,1,5.75,5.75,1.40,18.40,17.75,16.15,14.65,13.90,—,—,3.38,3.14,2.51,1.94,1.65,35.6%,35.5%,35.7%,35.6%,35.6%
MP-0008,STAU891,Hip Bag,Accessories,300.0,3,1,9.00,9.75,1.40,23.45,22.80,21.15,19.70,18.95,1.16,OS Essential Heathers,3.38,3.14,2.51,1.94,1.65,35.6%,35.5%,35.5%,35.6%,35.6%
MP-0009,STAU773,Light Tote Bag,Accessories,160.0,18,1,2.17,2.17,1.40,12.85,12.20,10.60,9.10,8.35,—,—,3.38,3.14,2.51,1.94,1.65,35.6%,35.5%,35.8%,35.7%,35.7%
MP-0010,STAU116,Mid Tote bag,Accessories,220.0,21,1,3.50,3.50,1.40,14.90,14.30,12.65,11.15,10.40,—,—,3.38,3.14,2.51,1.94,1.65,35.6%,35.7%,35.7%,35.6%,35.6%
