ref,supplier_ref,product,category,our cost (worst size/colour),market blank q100 (median),cheapest competitor q100,dearest competitor q100,our price q25,our price q50,our price q100,our price q250,our price q500,margin q25,margin q50,margin q100,margin q250,margin q500,x market q100,position
MP-0001,STAU029,Baby Bib,Accessories,2.95,3.68,2.9,3.82,19.74,16.58,13.55,11.14,9.99,35%,35%,35%,35%,35%,3.68,above market
MP-0002,STAU893,Bucket Hat,Accessories,7.25,9.0,7.18,12.38,26.36,23.2,20.17,17.75,16.6,35%,35%,35%,35%,35%,2.24,above market
MP-0003,STAU892,Duffle Bag,Accessories,14.9,18.27,14.63,25.23,38.13,34.97,31.94,29.52,28.37,35%,35%,35%,35%,35%,1.75,above market
MP-0004,STAU297,Fielder,Accessories,,,,,,,,,,,,,,,,quote on inquiry
MP-0005,STAU771,Fisherman Beanie,Accessories,7.3,8.83,6.97,12.02,26.43,23.27,20.24,17.83,16.68,35%,35%,35%,35%,35%,2.29,above market
MP-0006,STAU296,Fisherman Beanie 2.0,Accessories,7.3,8.88,6.97,12.02,26.43,23.27,20.24,17.83,16.68,35%,35%,35%,35%,35%,2.28,above market
MP-0007,STAU763,Gym Bag,Accessories,5.75,7.05,5.66,9.76,24.05,20.89,17.86,15.44,14.3,35%,35%,35%,35%,35%,2.53,above market
MP-0008,STAU891,Hip Bag,Accessories,9.75,11.99,8.9,16.54,30.2,27.04,24.01,21.6,20.45,35%,35%,35%,35%,35%,2.0,above market
MP-0009,STAU773,Light Tote Bag,Accessories,2.17,2.73,1.92,3.67,18.54,15.38,12.35,9.94,8.79,35%,35%,35%,35%,35%,4.52,above market
MP-0010,STAU116,Mid Tote bag,Accessories,3.5,4.44,3.45,5.95,20.59,17.43,14.4,11.98,10.84,35%,35%,35%,35%,35%,3.25,above market
MP-0011,STAU764,Pencil Case,Accessories,3.25,4.09,3.24,5.59,20.2,17.04,14.01,11.6,10.45,35%,35%,35%,35%,35%,3.43,above market
MP-0012,STAU772,Rib Beanie,Accessories,7.2,8.56,6.83,9.76,26.28,23.12,20.09,17.67,16.53,35%,35%,35%,35%,35%,2.35,above market
MP-0013,STAU295,Rib Beanie 2.0,Accessories,7.2,8.71,6.83,11.78,26.28,23.12,20.09,17.67,16.53,35%,35%,35%,35%,35%,2.31,above market
MP-0014,STAU117,Shopping bag 2.0,Accessories,6.15,7.68,6.07,10.47,24.67,21.5,18.48,16.06,14.91,35%,35%,35%,35%,35%,2.41,above market
MP-0015,STAU760,Tote Bag,Accessories,3.95,4.86,3.86,6.66,21.28,18.12,15.09,12.67,11.53,35%,35%,35%,35%,35%,3.1,above market
MP-0016,STJU844,Bomber,Outerwear,,,,,,,,,,,,,,,,quote on inquiry
MP-0017,STJU251,Bomber 2.0,Outerwear,46.15,56.58,45.47,78.42,86.2,83.04,80.01,77.6,76.45,35%,35%,35%,35%,35%,1.41,above market
MP-0018,STJU248,Brooker,Outerwear,41.65,51.08,41.06,70.81,79.28,76.12,73.09,70.67,69.53,35%,35%,35%,35%,35%,1.43,above market
MP-0019,STJU294,Chore Jacket,Outerwear,,,,,,,,,,,,,,,,quote on inquiry
MP-0020,STJU833,Coacher,Outerwear,27.6,33.28,26.39,46.89,57.67,54.5,51.48,49.06,47.91,35%,35%,35%,35%,35%,1.55,above market
MP-0021,STJU879,Coacher AOP,Outerwear,,,,,,,,,,,,,,,,quote on inquiry
MP-0022,STJU846,Commuter,Outerwear,33.5,34.28,27.53,47.48,66.74,63.58,60.55,58.14,56.99,35%,35%,35%,35%,35%,1.77,above market
MP-0023,STJU289,Drifter,Outerwear,,,,,,,,,,,,,,,,quote on inquiry
MP-0024,STJU249,Liner,Outerwear,35.7,44.57,35.19,60.69,70.13,66.97,63.94,61.52,60.37,35%,35%,35%,35%,35%,1.43,above market
MP-0025,STJU883,Outsider,Outerwear,,,,,,,,,,,,,,,,quote on inquiry
MP-0026,STJU841,Padded Parker,Outerwear,55.85,68.5,55.06,94.96,101.13,97.97,94.94,92.52,91.37,35%,35%,35%,35%,35%,1.39,above market
MP-0027,STJU840,Puffer,Outerwear,66.65,81.72,65.69,113.29,117.74,114.58,111.55,109.14,107.99,35%,35%,35%,35%,35%,1.37,above market
MP-0028,STJU292,Puffer 2.0,Outerwear,66.65,81.94,65.69,113.29,117.74,114.58,111.55,109.14,107.99,35%,35%,35%,35%,35%,1.36,above market
MP-0029,STJU250,Puffer Gilet,Outerwear,41.85,51.35,41.26,71.16,79.59,76.43,73.4,70.98,69.84,35%,35%,35%,35%,35%,1.43,above market
MP-0030,STJU293,Puffer Gilet 2.0,Outerwear,41.85,53.43,42.78,73.78,79.59,76.43,73.4,70.98,69.84,35%,35%,35%,35%,35%,1.37,above market
MP-0031,STJU834,Speeder,Outerwear,33.2,40.73,32.71,56.41,66.28,63.12,60.09,57.67,56.53,35%,35%,35%,35%,35%,1.48,above market
MP-0032,STJU878,Speeder AOP,Outerwear,,,,,,,,,,,,,,,,quote on inquiry
MP-0033,STJM189,Stanley Climber 2.0,Outerwear,38.45,39.52,31.27,54.5,74.36,71.2,68.17,65.75,64.6,35%,35%,35%,35%,35%,1.72,above market
MP-0034,STJM158,Stanley Discoverer,Outerwear,59.3,60.61,48.71,84.01,106.43,103.27,100.24,97.83,96.68,35%,35%,35%,35%,35%,1.65,above market
MP-0035,STJM238,Stanley Guider,Outerwear,25.05,25.62,20.56,35.46,53.74,50.58,47.55,45.14,43.99,35%,35%,35%,35%,35%,1.86,above market
MP-0036,STJM167,Stanley Navigator,Outerwear,54.6,54.82,44.03,77.35,99.2,96.04,93.01,90.6,89.45,35%,35%,35%,35%,35%,1.7,above market
MP-0037,STJM240,Stanley Quester,Outerwear,21.65,22.19,17.8,30.7,48.51,45.35,42.32,39.91,38.76,35%,35%,35%,35%,35%,1.91,above market
MP-0038,STJM290,Stanley Stormer,Outerwear,,,,,,,,,,,,,,,,quote on inquiry
MP-0039,STJM235,Stanley Trail Blazer,Outerwear,41.85,42.78,34.36,59.26,79.59,76.43,73.4,70.98,69.84,35%,35%,35%,35%,35%,1.72,above market
MP-0040,STJM188,Stanley Voyager 2.0,Outerwear,57.1,59.0,46.92,80.92,103.05,99.89,96.86,94.44,93.3,35%,35%,35%,35%,35%,1.64,above market
MP-0041,STJW190,Stella Climber 2.0,Outerwear,38.45,39.77,31.6,54.5,74.36,71.2,68.17,65.75,64.6,35%,35%,35%,35%,35%,1.71,above market
MP-0042,STJW159,Stella Discoverer,Outerwear,49.4,60.61,48.71,84.01,91.2,88.04,85.01,82.6,81.45,35%,35%,35%,35%,35%,1.4,above market
MP-0043,STJW239,Stella Guider,Outerwear,20.85,25.62,20.56,35.46,47.28,44.12,41.09,38.67,37.53,35%,35%,35%,35%,35%,1.6,above market
MP-0044,STJW166,Stella Navigator,Outerwear,45.35,54.64,44.03,77.11,84.97,81.81,78.78,76.37,75.22,35%,35%,35%,35%,35%,1.44,above market
MP-0045,STJW241,Stella Quester,Outerwear,18.05,22.19,17.8,30.7,42.97,39.81,36.78,34.37,33.22,35%,35%,35%,35%,35%,1.66,above market
MP-0046,STJW291,Stella Stormer,Outerwear,,,,,,,,,,,,,,,,quote on inquiry
MP-0047,STJW236,Stella Trail Blazer,Outerwear,34.85,42.78,34.36,59.26,68.82,65.66,62.63,60.21,59.07,35%,35%,35%,35%,35%,1.46,above market
MP-0048,STJW191,Stella Voyager 2.0,Outerwear,57.1,59.0,46.92,80.92,103.05,99.89,96.86,94.44,93.3,35%,35%,35%,35%,35%,1.64,above market
MP-0049,STJU849,Tracker,Outerwear,,,,,,,,,,,,,,,,quote on inquiry
MP-0050,STJU242,Trekker,Outerwear,34.85,42.78,34.36,59.26,68.82,65.66,62.63,60.21,59.07,35%,35%,35%,35%,35%,1.46,above market
MP-0051,STBB187,Baby Tumbler,Pants & shorts,11.7,12.14,9.59,16.54,33.2,30.04,27.01,24.6,23.45,35%,35%,35%,35%,35%,2.22,above market
MP-0052,STBU276,Barreler,Pants & shorts,,,,,,,,,,,,,,,,quote on inquiry
MP-0053,STBU944,Boarder Dry,Pants & shorts,20.85,24.27,19.46,33.56,47.28,44.12,41.09,38.67,37.53,35%,35%,35%,35%,35%,1.69,above market
MP-0054,STBU157,Jammer Dry,Pants & shorts,30.9,35.74,28.7,49.5,62.74,59.58,56.55,54.14,52.99,35%,35%,35%,35%,35%,1.58,above market
MP-0055,STBK102,Mini Bolter,Pants & shorts,13.05,14.65,11.73,20.23,35.28,32.12,29.09,26.67,25.53,35%,35%,35%,35%,35%,1.98,above market
MP-0056,STSK183,Mini Mover 2.0,Pants & shorts,16.5,18.14,14.56,25.47,40.59,37.43,34.4,31.98,30.84,35%,35%,35%,35%,35%,1.9,above market
MP-0057,STBU185,Mover 2.0,Pants & shorts,23.76,26.73,21.53,37.6,51.76,48.6,45.57,43.15,42.0,35%,35%,35%,35%,35%,1.7,above market
MP-0058,STBU576,Mover Vintage,Pants & shorts,27.45,33.7,27.05,46.65,57.43,54.27,51.24,48.83,47.68,35%,35%,35%,35%,35%,1.52,above market
MP-0059,STBU274,Needer,Pants & shorts,18.95,22.62,17.94,30.94,44.36,41.2,38.17,35.75,34.6,35%,35%,35%,35%,35%,1.69,above market
MP-0060,STBU186,Trainer 2.0,Pants & shorts,17.3,20.21,16.22,27.97,41.82,38.66,35.63,33.21,32.07,35%,35%,35%,35%,35%,1.76,above market
MP-0061,STPU252,Coaster Vintage,Polos,11.5,14.14,11.32,19.52,32.9,29.74,26.71,24.29,23.14,35%,35%,35%,35%,35%,1.89,above market
MP-0062,STPK908,Mini Sprinter,Polos,9.6,11.17,8.49,15.59,29.97,26.81,23.78,21.37,20.22,35%,35%,35%,35%,35%,2.13,above market
MP-0063,STPU222,Prepster 2.0,Polos,15.9,15.04,11.18,21.06,39.67,36.5,33.48,31.06,29.91,35%,35%,35%,35%,35%,2.23,above market
MP-0064,STPU223,Prepster 2.0 Long Sleeve,Polos,14.75,17.22,12.9,24.16,37.9,34.74,31.71,29.29,28.14,35%,35%,35%,35%,35%,1.84,above market
MP-0065,STPU332,Prepster Long Sleeve,Polos,,,,,,,,,,,,,,,,quote on inquiry
MP-0066,STPM224,Stanley Coaster,Polos,11.1,10.37,7.87,14.28,32.28,29.12,26.09,23.67,22.53,35%,35%,35%,35%,35%,2.52,above market
MP-0067,STPW977,Stella Coaster,Polos,11.1,10.24,7.87,14.28,32.28,29.12,26.09,23.67,22.53,35%,35%,35%,35%,35%,2.55,above market
MP-0068,STPW333,Stella Elliser,Polos,,,,,,,,,,,,,,,,quote on inquiry
MP-0069,STWU287,Palmer,Shirts,,,,,,,,,,,,,,,,quote on inquiry
MP-0070,STWM967,Stanley Denim Shirt,Shirts,26.55,27.16,21.8,37.6,56.05,52.89,49.86,47.44,46.3,35%,35%,35%,35%,35%,1.84,above market
MP-0071,STWM968,Stanley Oxford Shirt,Shirts,26.1,26.66,21.39,36.89,55.36,52.2,49.17,46.75,45.6,35%,35%,35%,35%,35%,1.84,above market
MP-0072,STWM969,Stanley Styler Shirt,Shirts,25.25,25.38,20.7,35.7,54.05,50.89,47.86,45.44,44.3,35%,35%,35%,35%,35%,1.89,above market
MP-0073,STWW970,Stella Denim Shirt,Shirts,26.55,27.16,21.8,37.6,56.05,52.89,49.86,47.44,46.3,35%,35%,35%,35%,35%,1.84,above market
MP-0074,STWW288,Stella Ember,Shirts,,,,,,,,,,,,,,,,quote on inquiry
MP-0075,STWW270,Stella Harper,Shirts,21.05,26.09,20.7,35.7,47.59,44.43,41.4,38.98,37.84,35%,35%,35%,35%,35%,1.59,above market
MP-0076,STWW971,Stella Oxford Shirt,Shirts,26.1,26.66,21.39,36.89,55.36,52.2,49.17,46.75,45.6,35%,35%,35%,35%,35%,1.84,above market
MP-0077,STWW973,Stella Styler Shirt,Shirts,21.0,25.38,20.7,35.7,47.51,44.35,41.32,38.91,37.76,35%,35%,35%,35%,35%,1.63,above market
MP-0078,STWU975,Worker,Shirts,25.05,27.48,24.7,30.25,53.74,50.58,47.55,45.14,43.99,35%,35%,35%,35%,35%,1.73,above market
MP-0079,STSU011,Archer,Sweatshirts,21.95,25.71,20.63,35.58,48.97,45.81,42.78,40.37,39.22,35%,35%,35%,35%,35%,1.66,above market
MP-0080,STSU040,Archer Vintage,Sweatshirts,27.7,34.03,27.32,47.12,57.82,54.66,51.63,49.21,48.07,35%,35%,35%,35%,35%,1.52,above market
MP-0081,STSU261,Astor,Sweatshirts,33.65,39.95,31.74,54.74,66.97,63.81,60.78,58.37,57.22,35%,35%,35%,35%,35%,1.52,above market
MP-0082,STSB920,Baby Changer,Sweatshirts,11.45,11.87,8.97,16.18,32.82,29.66,26.63,24.21,23.07,35%,35%,35%,35%,35%,2.24,above market
MP-0083,STSB105,Baby Connector,Sweatshirts,13.9,14.48,11.45,19.75,36.59,33.43,30.4,27.98,26.84,35%,35%,35%,35%,35%,2.1,above market
MP-0084,STSB919,Baby Cruiser,Sweatshirts,11.6,14.03,11.11,19.16,33.05,29.89,26.86,24.44,23.3,35%,35%,35%,35%,35%,1.91,above market
MP-0085,STSU178,Changer 2.0,Sweatshirts,21.35,20.75,16.72,29.16,48.05,44.89,41.86,39.44,38.3,35%,35%,35%,35%,35%,2.02,above market
